id	ordem	name	description	location	website
1	1	EMAC	Escola profissional parceira da Corujinha	Vila Nova de Gaia	https://emac-edu.com/
2	2	Espa├ºo Atl├óntico - Forma├º├úo Financeira	Escola profissional parceira da Corujinha	Vila Nova de Gaia/Porto	https://espacoatlantico.pt/
