id	ordem	name	description	duration	location	id_entity	active
1	1	T├®cnico de Termalismo	Curso t├®cnico especializado em termalismo	1 Ano	Lob├úo	1	1
2	2	T├®cnico auxiliar de Sa├║de	Curso t├®cnico especializado em Sa├║de	6 meses	Lob├úo	2	1
